Date,close,Open,High,Low,Vol.
"May 24, 2021",38750.6,"34,720.30",39851.7,"34,474.60",244.88K
"May 25, 2021",38378.3,"38,753.60",39740.8,"36,540.70",163.01K
"May 26, 2021",39249.2,"38,375.70",40750,"37,847.00",153.80K
"May 27, 2021",38417.3,"39,249.00",40322.2,"37,190.80",122.93K
"May 28, 2021",35662.5,"38,543.20",38844.1,"34,772.40",199.58K
"May 29, 2021",34584.6,"35,664.50",37227.1,"33,664.20",160.43K
"May 30, 2021",35652.8,"34,589.30",36388.6,"33,441.00",104.18K
"May 31, 2021",37298.6,"35,644.00",37480.7,"34,213.20",131.70K
"Jun 01, 2021",36687.6,"37,294.30",37850.3,"35,742.70",113.48K
"Jun 02, 2021",37555.8,"36,687.70",38199.9,"35,981.10",96.89K
"Jun 03, 2021",39187.3,"37,555.70",39462.3,"37,193.60",106.44K
"Jun 04, 2021",36851.3,"39,191.40",39255.4,"35,659.90",127.71K
"Jun 05, 2021",35520,"36,841.20",37887.6,"34,832.00",101.48K
"Jun 06, 2021",35815.4,"35,518.70",36434,"35,265.30",62.20K
"Jun 07, 2021",33578,"35,815.40",36754.6,"33,410.10",119.50K
"Jun 08, 2021",33382.9,"33,574.60",34047.8,"31,158.10",193.54K
"Jun 09, 2021",37332.2,"33,385.50",37517.6,"32,428.60",209.82K
"Jun 10, 2021",36649.4,"37,375.20",38340.8,"35,824.00",154.32K
"Jun 11, 2021",37314.6,"36,654.30",37641.1,"36,003.30",109.15K
"Jun 12, 2021",35467.5,"37,334.40",37437.3,"34,703.30",87.73K
"Jun 13, 2021",39022.9,"35,467.50",39321.6,"34,827.00",123.32K
"Jun 14, 2021",40529.4,"39,024.10",40970.4,"38,769.90",157.35K
"Jun 15, 2021",40156.1,"40,522.50",41318,"39,589.90",117.55K
"Jun 16, 2021",38336,"40,148.10",40494.4,"38,156.40",123.52K
"Jun 17, 2021",38052,"38,337.80",39529.9,"37,425.30",109.58K
"Jun 18, 2021",35749.4,"38,045.50",38166,"35,198.50",102.84K
"Jun 19, 2021",35513.4,"35,770.00",36357.3,"34,845.50",105.46K
"Jun 20, 2021",35595.8,"35,510.90",36097.9,"33,378.00",137.48K
"Jun 21, 2021",31692,"35,597.90",35708.4,"31,284.10",256.87K
"Jun 22, 2021",32496.4,"31,682.70",33272.5,"28,901.80",309.65K
"Jun 23, 2021",33674.3,"32,498.30",34784.3,"31,736.50",173.34K
"Jun 24, 2021",34665.8,"33,678.10",35249.9,"32,356.70",119.25K
"Jun 25, 2021",31594,"34,660.50",35490.9,"31,337.90",193.43K
"Jun 26, 2021",32243.4,"31,592.10",32643,"30,206.90",156.67K
"Jun 27, 2021",34678.5,"32,247.10",34685.5,"32,041.70",148.80K
"Jun 28, 2021",34475.9,"34,682.20",35231.2,"33,944.90",112.00K
"Jun 29, 2021",35834.7,"34,477.30",36590.3,"34,247.60",97.27K
"Jun 30, 2021",35026.9,"35,832.60",36089.5,"34,126.60",107.07K
"Jul 01, 2021",33543.6,"35,030.70",35032.7,"32,839.20",27.41K
"Jul 02, 2021",33813.4,"33,542.20",33925.9,"32,734.60",78.93K
"Jul 03, 2021",34742.8,"33,814.20",34909.8,"33,363.30",55.69K
"Jul 04, 2021",35298.2,"34,742.80",35957.6,"34,740.10",56.13K
"Jul 05, 2021",33687.8,"35,297.00",35300.5,"33,164.10",88.36K
"Jul 06, 2021",34225.6,"33,688.50",35062,"33,581.70",83.63K
"Jul 07, 2021",33867.8,"34,228.70",35036.6,"33,801.30",72.03K
"Jul 08, 2021",32866.3,"33,859.40",33923.2,"32,146.90",108.09K
"Jul 09, 2021",33797.4,"32,866.30",34079.2,"32,367.00",67.14K
"Jul 10, 2021",33510.6,"33,797.70",34221,"33,056.80",50.94K
"Jul 11, 2021",34227.7,"33,510.80",34580.6,"33,319.80",35.72K
"Jul 12, 2021",33113,"34,228.30",34598,"32,662.80",63.24K
"Jul 13, 2021",32728.1,"33,106.10",33307.7,"32,259.50",60.04K
"Jul 14, 2021",32820.7,"32,727.80",33051.9,"31,611.20",69.56K
