Time, I, Bit coin,Price
416, 0.000000, 0.000000, 0.542157
417, 0.000000, 0.000000, 0.542157
418, 0.000000, 0.000000, 0.542157
419, 0.000000, 0.000000, 0.542157
420, 0.000000, 0.000000, 0.542157
421, 0.000000, 0.000000, 0.542157
422, 0.000000, 0.000000, 0.542157
423, 0.000000, 0.000000, 0.542157
424, 0.000000, 0.000000, 0.542157
425, 0.000000, 0.000000, 0.542157
426, 0.000000, 0.000000, 0.542157
427, 0.000000, 0.000000, 0.542157
428, 0.000000, 0.000000, 0.542157
429, 0.000000, 0.000000, 0.542157
430, 0.000000, 0.000000, 0.542157
431, 0.000000, 0.000000, 0.542157
432, 0.000000, 0.000000, 0.542157
433, 0.000000, 0.000000, 0.542157
434, 0.000000, 0.000000, 0.542157
435, 0.000000, 0.000000, 0.542157
436, 0.000000, 0.000000, 0.542157
437, 0.000000, 0.000000, 0.542157
438, 0.000000, 0.000000, 0.542157
439, 0.000000, 0.000000, 0.542157
440, 0.000000, 0.000000, 0.542157
441, 0.000000, 0.000000, 0.542157
442, 0.000000, 0.000000, 0.542157
443, 0.000000, 0.000000, 0.542157
444, 0.000000, 0.000000, 0.542157
445, 0.000000, 0.000000, 0.542157
446, 0.000000, 0.000000, 0.542157
447, 0.000000, 0.000000, 0.542157
448, 0.000000, 0.000000, 0.542157
449, 0.000000, 0.000000, 0.542157
450, 0.000000, 0.000000, 0.542157
451, 0.000000, 0.000000, 0.542157
452, 0.000000, 0.000000, 0.542157
453, 0.000000, 0.000000, 0.542157
454, 0.000000, 0.000000, 0.542157
455, 0.000000, 0.000000, 0.542157
456, 0.000000, 0.000000, 0.542157
457, 0.000000, 0.000000, 0.542157
458, 0.000000, 0.000000, 0.542157
459, 0.000000, 0.000000, 0.542157
460, 0.000000, 0.000000, 0.542157
461, 0.000000, 0.000000, 0.542157
462, 0.000000, 0.000000, 0.542157
463, 0.000000, 0.000000, 0.542157
464, 0.000000, 0.000000, 0.542157
465, 0.000000, 0.000000, 0.542157
466, 0.000000, 0.000000, 0.542157
467, 0.000000, 0.000000, 0.542157
468, 0.000000, 0.000000, 0.542157
469, 0.000000, 0.000000, 0.542157
470, 0.000000, 0.000000, 0.542157
471, 0.000000, 0.000000, 0.542157
472, 0.000000, 0.000000, 0.542157
473, 0.000000, 0.000000, 0.542157
474, 0.000000, 0.000000, 0.542157
475, 0.000000, 0.000000, 0.542157
476, 0.000000, 0.000000, 0.542157
477, 0.000000, 0.000000, 0.542157
478, 0.000000, 0.000000, 0.542157
479, 0.000000, 0.000000, 0.542157
480, 0.000000, 0.000000, 0.542157
481, 0.000000, 0.000000, 0.542157
482, 0.000000, 0.000000, 0.542157
483, 0.000000, 0.000000, 0.542157
484, 0.000000, 0.000000, 0.542157
485, 0.000000, 0.000000, 0.542157
486, 0.000000, 0.000000, 0.542157
487, 0.000000, 0.000000, 0.542157
488, 0.000000, 0.000000, 0.542157
489, 0.000000, 0.000000, 0.542157
490, 0.000000, 0.000000, 0.542157
491, 0.000000, 0.000000, 0.542157
492, 0.000000, 0.000000, 0.542157
493, 0.000000, 0.000000, 0.542157
494, 0.000000, 0.000000, 0.542157
495, 0.000000, 0.000000, 0.542157
496, 0.000000, 0.000000, 0.542157
497, 0.000000, 0.000000, 0.542157
498, 0.000000, 0.000000, 0.542157
499, 0.000000, 0.000000, 0.542157
500, 0.000000, 0.000000, 0.542157
501, 0.000000, 0.000000, 0.542157
502, 0.000000, 0.000000, 0.542157
503, 0.000000, 0.000000, 0.542157
504, 0.000000, 0.000000, 0.542157
505, 0.000000, 0.000000, 0.542157
506, 0.000000, 0.000000, 0.542157
507, 0.000000, 0.000000, 0.542157
508, 0.000000, 0.000000, 0.542157
509, 0.000000, 0.000000, 0.542157
510, 0.000000, 0.000000, 0.542157
511, 0.000000, 0.000000, 0.542157
512, 0.000000, 0.000000, 0.542157
513, 0.000000, 0.000000, 0.542157
514, 0.000000, 0.000000, 0.542157
515, 0.000000, 0.000000, 0.542157
516, 0.000000, 0.000000, 0.542157
517, 0.000000, 0.000000, 0.542157
518, 0.000000, 0.000000, 0.542157
519, 0.000000, 0.000000, 0.542157
520, 0.000000, 0.000000, 0.542157
521, 0.000000, 0.000000, 0.542157
522, 0.000000, 0.000000, 0.542157
523, 0.000000, 0.000000, 0.542157
524, 0.000000, 0.000000, 0.542157
525, 0.000000, 0.000000, 0.542157
526, 0.000000, 0.000000, 0.542157
527, 0.000000, 0.000000, 0.542157
528, 0.000000, 0.000000, 0.542157
529, 0.000000, 0.000000, 0.542157
530, 0.000000, 0.000000, 0.542157
531, 0.000000, 0.000000, 0.542157
532, 0.000000, 0.000000, 0.542157
533, 0.000000, 0.000000, 0.542157
534, 0.000000, 0.000000, 0.542157
535, 0.000000, 0.000000, 0.542157
536, 0.000000, 0.000000, 0.542157
537, 0.000000, 0.000000, 0.542157
538, 0.000000, 0.000000, 0.542157
539, 0.000000, 0.000000, 0.542157
540, 0.000000, 0.000000, 0.542157
541, 0.000000, 0.000000, 0.542157
542, 0.000000, 0.000000, 0.542157
543, 0.000000, 0.000000, 0.542157
544, 0.000000, 0.000000, 0.542157
545, 0.000000, 0.000000, 0.542157
546, 0.000000, 0.000000, 0.542157
547, 0.000000, 0.000000, 0.542157
548, 0.000000, 0.000000, 0.542157
549, 0.000000, 0.000000, 0.542157
550, 0.000000, 0.000000, 0.542157
551, 0.000000, 0.000000, 0.542157
552, 0.000000, 0.000000, 0.542157
553, 0.000000, 0.000000, 0.542157
554, 0.000000, 0.000000, 0.542157
555, 0.000000, 0.000000, 0.542157
556, 0.000000, 0.000000, 0.542157
557, 0.000000, 0.000000, 0.542157
558, 0.000000, 0.000000, 0.542157
559, 0.000000, 0.000000, 0.542157
560, 0.000000, 0.000000, 0.542157
561, 0.000000, 0.000000, 0.542157
562, 0.000000, 0.000000, 0.542157
563, 0.000000, 0.000000, 0.542157
564, 0.000000, 0.000000, 0.542157
565, 0.000000, 0.000000, 0.542157
566, 0.000000, 0.000000, 0.542157
567, 0.000000, 0.000000, 0.542157
568, 0.000000, 0.000000, 0.542157
569, 0.000000, 0.000000, 0.542157
570, 0.000000, 0.000000, 0.542157
571, 0.000000, 0.000000, 0.542157
572, 0.000000, 0.000000, 0.542157
573, 0.000000, 0.000000, 0.542157
574, 0.000000, 0.000000, 0.542157
575, 0.000000, 0.000000, 0.542157
576, 0.000000, 0.000000, 0.542157
577, 0.000000, 0.000000, 0.542157
578, 0.000000, 0.000000, 0.542157
579, 0.000000, 0.000000, 0.542157
580, 0.000000, 0.000000, 0.542157
581, 0.000000, 0.000000, 0.542157
582, 0.000000, 0.000000, 0.542157
583, 0.000000, 0.000000, 0.542157
584, 0.000000, 0.000000, 0.542157
585, 0.000000, 0.000000, 0.542157
586, 0.000000, 0.000000, 0.542157
587, 0.000000, 0.000000, 0.542157
588, 0.000000, 0.000000, 0.542157
589, 0.000000, 0.000000, 0.542157
590, 0.000000, 0.000000, 0.542157
591, 0.000000, 0.000000, 0.542157
592, 0.000000, 0.000000, 0.542157
593, 0.000000, 0.000000, 0.542157
594, 0.000000, 0.000000, 0.542157
595, 0.000000, 0.000000, 0.542157
596, 0.000000, 0.000000, 0.542157
597, 0.000000, 0.000000, 0.542157
598, 0.000000, 0.000000, 0.542157
599, 0.000000, 0.000000, 0.542157
600, 0.000000, 0.000000, 0.542157
601, 0.000000, 0.000000, 0.542157
602, 0.000000, 0.000000, 0.542157
603, 0.000000, 0.000000, 0.542157
604, 0.000000, 0.000000, 0.542157
605, 0.000000, 0.000000, 0.542157
606, 0.000000, 0.000000, 0.542157
607, 0.000000, 0.000000, 0.542157
608, 0.000000, 0.000000, 0.542157
609, 0.000000, 0.000000, 0.542157
610, 0.000000, 0.000000, 0.542157
611, 0.000000, 0.000000, 0.542157
612, 0.000000, 0.000000, 0.542157
613, 0.000000, 0.000000, 0.542157
614, 0.000000, 0.000000, 0.542157
615, 0.000000, 0.000000, 0.542157
616, 0.000000, 0.000000, 0.542157
617, 0.000000, 0.000000, 0.542157
618, 0.000000, 0.000000, 0.542157
619, 0.000000, 0.000000, 0.542157
620, 0.000000, 0.000000, 0.542157
621, 0.000000, 0.000000, 0.542157
622, 0.000000, 0.000000, 0.542157
623, 0.000000, 0.000000, 0.542157
624, 0.000000, 0.000000, 0.542157
625, 0.000000, 0.000000, 0.542157
626, 0.000000, 0.000000, 0.542157
627, 0.000000, 0.000000, 0.542157
628, 0.000000, 0.000000, 0.542157
629, 0.000000, 0.000000, 0.542157
630, 0.000000, 0.000000, 0.542157
631, 0.000000, 0.000000, 0.542157
632, 0.000000, 0.000000, 0.542157
633, 0.000000, 0.000000, 0.542157
634, 0.000000, 0.000000, 0.542157
635, 0.000000, 0.000000, 0.542157
636, 0.000000, 0.000000, 0.542157
637, 0.000000, 0.000000, 0.542157
638, 0.000000, 0.000000, 0.542157
639, 0.000000, 0.000000, 0.542157
640, 0.000000, 0.000000, 0.542157
641, 0.000000, 0.000000, 0.542157
642, 0.000000, 0.000000, 0.542157
643, 0.000000, 0.000000, 0.542157
644, 0.000000, 0.000000, 0.542157
645, 0.000000, 0.000000, 0.542157
646, 0.000000, 0.000000, 0.542157
647, 0.000000, 0.000000, 0.542157
648, 0.000000, 0.000000, 0.542157
649, 0.000000, 0.000000, 0.542157
650, 0.000000, 0.000000, 0.542157
651, 0.000000, 0.000000, 0.542157
652, 0.000000, 0.000000, 0.542157
653, 0.000000, 0.000000, 0.542157
654, 0.000000, 0.000000, 0.542157
655, 0.000000, 0.000000, 0.542157
656, 0.000000, 0.000000, 0.542157
657, 0.000000, 0.000000, 0.542157
658, 0.000000, 0.000000, 0.542157
659, 0.000000, 0.000000, 0.542157
660, 0.000000, 0.000000, 0.542157
661, 0.000000, 0.000000, 0.542157
662, 0.000000, 0.000000, 0.542157
663, 0.000000, 0.000000, 0.542157
664, 0.000000, 0.000000, 0.542157
665, 0.000000, 0.000000, 0.542157
666, 0.000000, 0.000000, 0.542157
667, 0.000000, 0.000000, 0.542157
668, 0.000000, 0.000000, 0.542157
669, 0.000000, 0.000000, 0.542157
670, 0.000000, 0.000000, 0.542157
671, 0.000000, 0.000000, 0.542157
672, 0.000000, 0.000000, 0.542157
673, 0.000000, 0.000000, 0.542157
674, 0.000000, 0.000000, 0.542157
675, 0.000000, 0.000000, 0.542157
676, 0.000000, 0.000000, 0.542157
677, 0.000000, 0.000000, 0.542157
678, 0.000000, 0.000000, 0.542157
679, 0.000000, 0.000000, 0.542157
680, 0.000000, 0.000000, 0.542157
681, 0.000000, 0.000000, 0.542157
682, 0.000000, 0.000000, 0.542157
683, 0.000000, 0.000000, 0.542157
684, 0.000000, 0.000000, 0.542157
685, 0.000000, 0.000000, 0.542157
686, 0.000000, 0.000000, 0.542157
687, 0.000000, 0.000000, 0.542157
688, 0.000000, 0.000000, 0.542157
689, 0.000000, 0.000000, 0.542157
690, 0.000000, 0.000000, 0.542157
691, 0.000000, 0.000000, 0.542157
692, 0.000000, 0.000000, 0.542157
693, 0.000000, 0.000000, 0.542157
694, 0.000000, 0.000000, 0.542157
695, 0.000000, 0.000000, 0.542157
